,fname,label,aso_id,manually_verified,noisy_small
66,270043.wav,Crash_cymbal,/m/0bm0k,0,0
67,138919.wav,Hi-hat,/m/03qtq,0,0
68,428639.wav,Coin_(dropping),/m/0242l,0,0
69,203087.wav,Slam,/m/07rjzl8,0,0
70,349980.wav,Acoustic_guitar,/m/042v_gx,0,0
71,432030.wav,Piano,/m/05r5c,0,0
72,195673.wav,Slam,/m/07rjzl8,0,0
73,36062.wav,Rain,/m/06mb1,0,0
74,180806.wav,Engine,/m/02mk9,0,0
75,56613.wav,Dishes_and_pots_and_pans,/m/04brg2,0,0
76,399656.wav,Wind,/m/03m9d0z,0,0
77,235219.wav,Bass_guitar,/m/018vs,0,0
78,383822.wav,Slam,/m/07rjzl8,0,0
79,260627.wav,Fireworks,/m/0g6b5,0,1
80,419107.wav,Fart,/m/02_nn,0,0
81,361207.wav,Dishes_and_pots_and_pans,/m/04brg2,0,0
82,406399.wav,Tearing,/m/07qcx4z,0,0
83,109598.wav,Fart,/m/02_nn,0,0
84,176669.wav,Dishes_and_pots_and_pans,/m/04brg2,0,0
85,61691.wav,Fart,/m/02_nn,0,0
86,102036.wav,Hi-hat,/m/03qtq,0,0
87,173869.wav,Bass_guitar,/m/018vs,0,0
88,136367.wav,Crash_cymbal,/m/0bm0k,0,0
89,255624.wav,Glass,/m/039jq,0,1
90,392538.wav,Glass,/m/039jq,0,0
91,336519.wav,Glass,/m/039jq,0,0
92,377356.wav,Hi-hat,/m/03qtq,0,0
93,153201.wav,Engine,/m/02mk9,0,1
94,39167.wav,Piano,/m/05r5c,1,0
95,340556.wav,Crash_cymbal,/m/0bm0k,0,0
96,30643.wav,Tearing,/m/07qcx4z,0,1
97,199421.wav,Glass,/m/039jq,0,0
98,208237.wav,Bass_guitar,/m/018vs,0,0
99,419102.wav,Fart,/m/02_nn,0,0
100,187285.wav,Walk_or_footsteps,/m/07pbtc8,0,0
101,141531.wav,Engine,/m/02mk9,1,0
102,415633.wav,Walk_or_footsteps,/m/07pbtc8,0,0
103,334672.wav,Fire,/m/02_41,0,1
104,179101.wav,Coin_(dropping),/m/0242l,0,0
105,60965.wav,Fart,/m/02_nn,0,0
106,384059.wav,Engine,/m/02mk9,0,0
107,350220.wav,Piano,/m/05r5c,0,0
108,137421.wav,Hi-hat,/m/03qtq,1,0
109,88878.wav,Glass,/m/039jq,0,1
110,321861.wav,Walk_or_footsteps,/m/07pbtc8,0,0
111,52222.wav,Coin_(dropping),/m/0242l,0,0
112,429900.wav,Crash_cymbal,/m/0bm0k,0,0
113,58362.wav,Piano,/m/05r5c,0,0
114,390579.wav,Walk_or_footsteps,/m/07pbtc8,0,0
115,244854.wav,Crash_cymbal,/m/0bm0k,0,1
116,251150.wav,Acoustic_guitar,/m/042v_gx,0,0
117,424979.wav,Piano,/m/05r5c,0,0
118,137612.wav,Hi-hat,/m/03qtq,0,1
119,195998.wav,Squeak,/m/07q6cd_,0,0
120,349227.wav,Bass_guitar,/m/018vs,0,0
121,75647.wav,Wind,/m/03m9d0z,0,0
122,276181.wav,Coin_(dropping),/m/0242l,0,0
123,391958.wav,Coin_(dropping),/m/0242l,0,0
124,25526.wav,Walk_or_footsteps,/m/07pbtc8,0,0
125,178061.wav,Slam,/m/07rjzl8,0,0
126,428295.wav,Slam,/m/07rjzl8,0,0
127,85889.wav,Slam,/m/07rjzl8,1,0
128,271411.wav,Hi-hat,/m/03qtq,0,0
129,135970.wav,Crash_cymbal,/m/0bm0k,0,0
130,413355.wav,Bass_guitar,/m/018vs,0,0
131,119939.wav,Glass,/m/039jq,0,0
132,393470.wav,Writing,/m/081rb,0,1
133,396359.wav,Dishes_and_pots_and_pans,/m/04brg2,0,0
134,259136.wav,Clapping,/m/0l15bq,0,0
135,212124.wav,Coin_(dropping),/m/0242l,0,0
136,170088.wav,Engine,/m/02mk9,0,0
137,371624.wav,Clapping,/m/0l15bq,1,0
138,131935.wav,Coin_(dropping),/m/0242l,0,0
139,93738.wav,Walk_or_footsteps,/m/07pbtc8,0,0
140,267084.wav,Engine,/m/02mk9,0,0
141,40952.wav,Coin_(dropping),/m/0242l,0,0
142,395684.wav,Wind,/m/03m9d0z,0,0
143,345310.wav,Piano,/m/05r5c,0,0
144,35170.wav,Fire,/m/02_41,0,0
145,271904.wav,Walk_or_footsteps,/m/07pbtc8,0,0
146,250940.wav,Walk_or_footsteps,/m/07pbtc8,0,0
147,389479.wav,Engine,/m/02mk9,0,1
148,120568.wav,Glass,/m/039jq,0,0
149,41746.wav,Acoustic_guitar,/m/042v_gx,0,0
150,396121.wav,Bass_guitar,/m/018vs,0,0
151,397434.wav,Clapping,/m/0l15bq,0,0
152,241882.wav,Glass,/m/039jq,0,0
153,380716.wav,Engine,/m/02mk9,0,0
154,58195.wav,Fart,/m/02_nn,0,0
155,140612.wav,Glass,/m/039jq,0,0
156,39200.wav,Piano,/m/05r5c,0,0
157,364905.wav,Dishes_and_pots_and_pans,/m/04brg2,0,0
158,65160.wav,Fart,/m/02_nn,0,0
159,241848.wav,Coin_(dropping),/m/0242l,0,0
160,134921.wav,Coin_(dropping),/m/0242l,0,0
161,98701.wav,Walk_or_footsteps,/m/07pbtc8,0,0
162,276186.wav,Coin_(dropping),/m/0242l,0,0
163,141533.wav,Engine,/m/02mk9,1,0
164,186769.wav,Crash_cymbal,/m/0bm0k,0,0
165,256577.wav,Slam,/m/07rjzl8,0,0
166,138723.wav,Hi-hat,/m/03qtq,0,0
167,239870.wav,Bass_guitar,/m/018vs,0,0
168,140373.wav,Coin_(dropping),/m/0242l,0,0
169,106017.wav,Clapping,/m/0l15bq,0,0
170,382707.wav,Walk_or_footsteps,/m/07pbtc8,0,0
171,39209.wav,Piano,/m/05r5c,0,0
172,390927.wav,Wind,/m/03m9d0z,0,0
173,121688.wav,Squeak,/m/07q6cd_,0,0
174,42744.wav,Dishes_and_pots_and_pans,/m/04brg2,0,0
175,341817.wav,Crash_cymbal,/m/0bm0k,0,0
176,149625.wav,Wind,/m/03m9d0z,0,0
177,125092.wav,Squeak,/m/07q6cd_,0,0
178,429715.wav,Dishes_and_pots_and_pans,/m/04brg2,0,0
179,162989.wav,Bass_guitar,/m/018vs,1,0
180,162975.wav,Bass_guitar,/m/018vs,0,0
181,155660.wav,Fire,/m/02_41,0,0
182,8957.wav,Piano,/m/05r5c,0,0
183,50259.wav,Hi-hat,/m/03qtq,0,0
184,56577.wav,Fireworks,/m/0g6b5,0,0
185,223152.wav,Glass,/m/039jq,0,0
186,407315.wav,Glass,/m/039jq,0,0
187,274158.wav,Hi-hat,/m/03qtq,0,0
188,120200.wav,Squeak,/m/07q6cd_,1,0
189,184881.wav,Squeak,/m/07q6cd_,0,0
190,244922.wav,Engine,/m/02mk9,0,0
191,401604.wav,Tearing,/m/07qcx4z,0,0
192,151111.wav,Slam,/m/07rjzl8,0,0
193,381976.wav,Coin_(dropping),/m/0242l,0,0
194,186391.wav,Coin_(dropping),/m/0242l,0,0
195,66155.wav,Slam,/m/07rjzl8,0,0
196,35159.wav,Fire,/m/02_41,0,0
197,336521.wav,Glass,/m/039jq,1,0
198,183050.wav,Acoustic_guitar,/m/042v_gx,0,0
199,320655.wav,Coin_(dropping),/m/0242l,0,0
200,328611.wav,Dishes_and_pots_and_pans,/m/04brg2,0,0
201,155808.wav,Walk_or_footsteps,/m/07pbtc8,0,0
202,131346.wav,Hi-hat,/m/03qtq,0,0
203,188496.wav,Dishes_and_pots_and_pans,/m/04brg2,0,0
204,212237.wav,Clapping,/m/0l15bq,0,0
205,46077.wav,Clapping,/m/0l15bq,1,0
206,350061.wav,Piano,/m/05r5c,0,0
207,174643.wav,Slam,/m/07rjzl8,0,0
208,183080.wav,Acoustic_guitar,/m/042v_gx,0,1
209,89885.wav,Glass,/m/039jq,0,0
210,187968.wav,Clapping,/m/0l15bq,0,0
211,139064.wav,Crash_cymbal,/m/0bm0k,0,0
212,3045.wav,Crash_cymbal,/m/0bm0k,0,0
213,352513.wav,Crash_cymbal,/m/0bm0k,0,0
214,343667.wav,Piano,/m/05r5c,0,0
215,349829.wav,Fireworks,/m/0g6b5,1,0
216,434404.wav,Fireworks,/m/0g6b5,0,0
217,98039.wav,Engine,/m/02mk9,0,0
218,431898.wav,Slam,/m/07rjzl8,0,0
219,204431.wav,Walk_or_footsteps,/m/07pbtc8,0,0
220,267960.wav,Clapping,/m/0l15bq,0,0
221,203621.wav,Hi-hat,/m/03qtq,0,0
222,369494.wav,Rain,/m/06mb1,0,0
223,73052.wav,Slam,/m/07rjzl8,0,0
224,209946.wav,Fireworks,/m/0g6b5,0,1
225,64132.wav,Fart,/m/02_nn,0,0
226,131261.wav,Clapping,/m/0l15bq,0,0
227,336545.wav,Slam,/m/07rjzl8,0,0
228,20578.wav,Clapping,/m/0l15bq,0,0
229,428977.wav,Fire,/m/02_41,0,0
230,36236.wav,Acoustic_guitar,/m/042v_gx,0,0
231,265754.wav,Walk_or_footsteps,/m/07pbtc8,0,0
232,321135.wav,Writing,/m/081rb,0,0
233,168378.wav,Crash_cymbal,/m/0bm0k,0,0
234,145125.wav,Dishes_and_pots_and_pans,/m/04brg2,0,0
235,39240.wav,Glass,/m/039jq,0,0
236,423877.wav,Crash_cymbal,/m/0bm0k,0,0
237,393789.wav,Fire,/m/02_41,0,0
238,328175.wav,Engine,/m/02mk9,0,0
239,239481.wav,Wind,/m/03m9d0z,0,0
240,66080.wav,Bass_guitar,/m/018vs,0,0
241,148502.wav,Piano,/m/05r5c,0,0
242,251148.wav,Acoustic_guitar,/m/042v_gx,0,0
243,60247.wav,Bass_guitar,/m/018vs,0,0
244,346157.wav,Squeak,/m/07q6cd_,0,0
245,125443.wav,Acoustic_guitar,/m/042v_gx,0,0
246,276189.wav,Coin_(dropping),/m/0242l,0,0
247,277528.wav,Glass,/m/039jq,0,0
248,8486.wav,Acoustic_guitar,/m/042v_gx,0,0
249,181570.wav,Fire,/m/02_41,0,0
250,172907.wav,Squeak,/m/07q6cd_,0,0
251,418233.wav,Dishes_and_pots_and_pans,/m/04brg2,0,0
252,69358.wav,Wind,/m/03m9d0z,0,1
253,168397.wav,Crash_cymbal,/m/0bm0k,0,0
254,178738.wav,Fire,/m/02_41,1,0
255,162951.wav,Bass_guitar,/m/018vs,0,0
256,232734.wav,Engine,/m/02mk9,0,0
257,199948.wav,Wind,/m/03m9d0z,0,0
258,335962.wav,Coin_(dropping),/m/0242l,0,0
259,399129.wav,Fire,/m/02_41,0,0
260,140615.wav,Glass,/m/039jq,0,0
261,93905.wav,Crash_cymbal,/m/0bm0k,0,0
262,248175.wav,Acoustic_guitar,/m/042v_gx,0,0
263,131385.wav,Crash_cymbal,/m/0bm0k,0,0
264,26007.wav,Bass_guitar,/m/018vs,0,0
265,271902.wav,Walk_or_footsteps,/m/07pbtc8,0,0
266,339856.wav,Fire,/m/02_41,0,0
267,155431.wav,Bass_guitar,/m/018vs,0,0
268,209964.wav,Squeak,/m/07q6cd_,0,0
269,176021.wav,Wind,/m/03m9d0z,0,0
270,136340.wav,Hi-hat,/m/03qtq,0,1
271,213995.wav,Slam,/m/07rjzl8,0,0
272,239888.wav,Bass_guitar,/m/018vs,0,0
273,383140.wav,Dishes_and_pots_and_pans,/m/04brg2,0,0
274,140537.wav,Hi-hat,/m/03qtq,0,0
275,265378.wav,Slam,/m/07rjzl8,0,0
276,198725.wav,Engine,/m/02mk9,0,0
277,252428.wav,Piano,/m/05r5c,0,0
278,272550.wav,Walk_or_footsteps,/m/07pbtc8,0,0
279,102886.wav,Clapping,/m/0l15bq,0,0
280,151586.wav,Slam,/m/07rjzl8,0,0
281,187698.wav,Acoustic_guitar,/m/042v_gx,1,0
282,98205.wav,Fire,/m/02_41,0,0
283,389810.wav,Slam,/m/07rjzl8,0,0
284,269381.wav,Clapping,/m/0l15bq,0,0
285,316016.wav,Piano,/m/05r5c,1,0
286,259944.wav,Piano,/m/05r5c,0,0
287,162379.wav,Fire,/m/02_41,0,0
288,121680.wav,Squeak,/m/07q6cd_,0,0
289,343411.wav,Tearing,/m/07qcx4z,0,0
290,31757.wav,Walk_or_footsteps,/m/07pbtc8,0,0
291,382469.wav,Piano,/m/05r5c,0,0
292,136784.wav,Engine,/m/02mk9,0,0
293,426390.wav,Slam,/m/07rjzl8,0,0
294,336418.wav,Rain,/m/06mb1,1,0
295,120174.wav,Squeak,/m/07q6cd_,0,0
296,422338.wav,Walk_or_footsteps,/m/07pbtc8,0,0
297,339480.wav,Clapping,/m/0l15bq,0,0
298,137635.wav,Hi-hat,/m/03qtq,0,0
299,163010.wav,Bass_guitar,/m/018vs,0,0
300,96197.wav,Fart,/m/02_nn,0,0
301,198586.wav,Clapping,/m/0l15bq,0,0
302,18068.wav,Walk_or_footsteps,/m/07pbtc8,0,0
303,406433.wav,Dishes_and_pots_and_pans,/m/04brg2,0,0
304,138825.wav,Hi-hat,/m/03qtq,0,0
305,427823.wav,Wind,/m/03m9d0z,0,0
306,132043.wav,Fireworks,/m/0g6b5,0,0
307,340571.wav,Crash_cymbal,/m/0bm0k,0,0
308,67831.wav,Bass_guitar,/m/018vs,0,0
309,265579.wav,Fire,/m/02_41,0,0
310,124487.wav,Wind,/m/03m9d0z,0,0
311,371234.wav,Engine,/m/02mk9,0,0
312,166703.wav,Wind,/m/03m9d0z,0,0
313,186020.wav,Writing,/m/081rb,0,1
314,393003.wav,Wind,/m/03m9d0z,0,0
315,81994.wav,Bass_guitar,/m/018vs,0,0
316,187268.wav,Fire,/m/02_41,0,0
317,104343.wav,Glass,/m/039jq,0,0
318,386793.wav,Engine,/m/02mk9,1,0
319,271414.wav,Hi-hat,/m/03qtq,0,0
320,138933.wav,Hi-hat,/m/03qtq,0,0
321,330248.wav,Squeak,/m/07q6cd_,0,0
322,423777.wav,Fire,/m/02_41,0,0
323,86491.wav,Bass_guitar,/m/018vs,0,0
324,235758.wav,Dishes_and_pots_and_pans,/m/04brg2,0,0
325,334063.wav,Hi-hat,/m/03qtq,0,0
326,270740.wav,Bass_guitar,/m/018vs,0,1
327,239686.wav,Bass_guitar,/m/018vs,1,0
328,182964.wav,Acoustic_guitar,/m/042v_gx,0,0
329,171089.wav,Fire,/m/02_41,0,0
330,50060.wav,Wind,/m/03m9d0z,0,0
331,173585.wav,Glass,/m/039jq,1,0
332,100989.wav,Engine,/m/02mk9,0,0
333,73263.wav,Fire,/m/02_41,0,0
334,367320.wav,Fire,/m/02_41,0,0
335,372490.wav,Acoustic_guitar,/m/042v_gx,0,0
336,213657.wav,Rain,/m/06mb1,0,0
337,137654.wav,Hi-hat,/m/03qtq,1,0
338,382565.wav,Piano,/m/05r5c,0,0
339,276232.wav,Coin_(dropping),/m/0242l,0,0
340,117001.wav,Crash_cymbal,/m/0bm0k,0,0
341,369233.wav,Dishes_and_pots_and_pans,/m/04brg2,0,1
342,327750.wav,Engine,/m/02mk9,0,0
343,341329.wav,Slam,/m/07rjzl8,0,0
344,232935.wav,Engine,/m/02mk9,0,1
345,140675.wav,Crash_cymbal,/m/0bm0k,1,0
346,369246.wav,Squeak,/m/07q6cd_,0,1
347,85888.wav,Slam,/m/07rjzl8,1,0
348,72826.wav,Squeak,/m/07q6cd_,1,0
349,203216.wav,Crash_cymbal,/m/0bm0k,0,0
350,255850.wav,Engine,/m/02mk9,0,0
351,254071.wav,Fireworks,/m/0g6b5,0,0
352,392794.wav,Walk_or_footsteps,/m/07pbtc8,0,0
353,191637.wav,Clapping,/m/0l15bq,0,0
354,341303.wav,Slam,/m/07rjzl8,0,0
355,234589.wav,Dishes_and_pots_and_pans,/m/04brg2,1,0
356,23060.wav,Hi-hat,/m/03qtq,0,0
357,223722.wav,Acoustic_guitar,/m/042v_gx,0,0
358,119087.wav,Squeak,/m/07q6cd_,0,0
359,188020.wav,Piano,/m/05r5c,0,0
360,396758.wav,Writing,/m/081rb,0,0
361,246257.wav,Engine,/m/02mk9,0,0
362,136355.wav,Hi-hat,/m/03qtq,0,0
363,214883.wav,Squeak,/m/07q6cd_,0,0
364,435272.wav,Fart,/m/02_nn,0,0
365,117033.wav,Crash_cymbal,/m/0bm0k,0,0
366,149523.wav,Wind,/m/03m9d0z,0,0
367,434571.wav,Slam,/m/07rjzl8,0,0
368,174627.wav,Tearing,/m/07qcx4z,0,0
369,396448.wav,Slam,/m/07rjzl8,0,0
370,415728.wav,Bass_guitar,/m/018vs,0,0
371,424075.wav,Tearing,/m/07qcx4z,0,0
372,138834.wav,Hi-hat,/m/03qtq,1,0
373,175055.wav,Clapping,/m/0l15bq,1,0
374,399647.wav,Piano,/m/05r5c,0,0
375,419146.wav,Glass,/m/039jq,0,0
376,183769.wav,Acoustic_guitar,/m/042v_gx,0,0
377,165171.wav,Squeak,/m/07q6cd_,0,0
378,237389.wav,Slam,/m/07rjzl8,0,0
379,397450.wav,Tearing,/m/07qcx4z,0,0
380,320828.wav,Coin_(dropping),/m/0242l,0,1
381,145230.wav,Wind,/m/03m9d0z,0,0
382,21416.wav,Fireworks,/m/0g6b5,0,0
383,137641.wav,Hi-hat,/m/03qtq,0,0
384,45656.wav,Fireworks,/m/0g6b5,0,0
385,248250.wav,Fire,/m/02_41,0,0
386,162944.wav,Bass_guitar,/m/018vs,1,0
387,140656.wav,Crash_cymbal,/m/0bm0k,0,0
388,132937.wav,Coin_(dropping),/m/0242l,0,0
389,82797.wav,Fire,/m/02_41,0,0
390,75230.wav,Bass_guitar,/m/018vs,0,1
391,137458.wav,Hi-hat,/m/03qtq,0,0
392,369118.wav,Squeak,/m/07q6cd_,0,0
393,183065.wav,Acoustic_guitar,/m/042v_gx,0,0
394,166955.wav,Crash_cymbal,/m/0bm0k,0,0
395,124525.wav,Squeak,/m/07q6cd_,1,0
396,91690.wav,Clapping,/m/0l15bq,0,0
397,126752.wav,Wind,/m/03m9d0z,0,0
398,435277.wav,Fart,/m/02_nn,0,0
399,419100.wav,Fart,/m/02_nn,0,0
400,175317.wav,Dishes_and_pots_and_pans,/m/04brg2,0,0
401,433975.wav,Bass_guitar,/m/018vs,0,0
402,137460.wav,Hi-hat,/m/03qtq,0,0
403,318893.wav,Slam,/m/07rjzl8,0,0
404,391710.wav,Slam,/m/07rjzl8,0,0
405,104061.wav,Glass,/m/039jq,0,0
406,325156.wav,Rain,/m/06mb1,0,0
407,161851.wav,Bass_guitar,/m/018vs,0,0
408,6315.wav,Bass_guitar,/m/018vs,0,0
409,10415.wav,Tearing,/m/07qcx4z,0,0
410,421131.wav,Walk_or_footsteps,/m/07pbtc8,0,0
411,320283.wav,Clapping,/m/0l15bq,0,0
412,139959.wav,Wind,/m/03m9d0z,0,0
413,47692.wav,Hi-hat,/m/03qtq,0,0
414,68897.wav,Tearing,/m/07qcx4z,1,0
415,194697.wav,Glass,/m/039jq,0,0
416,7491.wav,Hi-hat,/m/03qtq,0,0
417,237238.wav,Dishes_and_pots_and_pans,/m/04brg2,0,0
418,243613.wav,Crash_cymbal,/m/0bm0k,0,0
419,351996.wav,Clapping,/m/0l15bq,0,0
420,137577.wav,Hi-hat,/m/03qtq,0,1
421,63521.wav,Coin_(dropping),/m/0242l,0,0
422,252615.wav,Piano,/m/05r5c,0,0
423,420304.wav,Wind,/m/03m9d0z,0,0
424,435286.wav,Fart,/m/02_nn,0,0
425,181578.wav,Fire,/m/02_41,0,0
426,171131.wav,Walk_or_footsteps,/m/07pbtc8,0,0
427,183786.wav,Acoustic_guitar,/m/042v_gx,0,0
428,168368.wav,Crash_cymbal,/m/0bm0k,0,0
429,209309.wav,Fireworks,/m/0g6b5,1,0
430,51194.wav,Wind,/m/03m9d0z,0,1
431,34705.wav,Slam,/m/07rjzl8,0,0
432,137559.wav,Hi-hat,/m/03qtq,0,0
433,183711.wav,Acoustic_guitar,/m/042v_gx,0,0
434,49089.wav,Wind,/m/03m9d0z,0,0
435,418483.wav,Engine,/m/02mk9,0,0
436,270298.wav,Crash_cymbal,/m/0bm0k,0,0
437,89922.wav,Glass,/m/039jq,0,0
438,168567.wav,Squeak,/m/07q6cd_,0,0
439,383749.wav,Slam,/m/07rjzl8,0,0
440,109827.wav,Squeak,/m/07q6cd_,0,0
441,130105.wav,Coin_(dropping),/m/0242l,1,0
442,276088.wav,Coin_(dropping),/m/0242l,0,0
443,73063.wav,Squeak,/m/07q6cd_,0,0
444,128321.wav,Squeak,/m/07q6cd_,0,0
445,10379.wav,Bass_guitar,/m/018vs,0,0
446,365594.wav,Walk_or_footsteps,/m/07pbtc8,0,0
447,136093.wav,Crash_cymbal,/m/0bm0k,0,0
448,183750.wav,Acoustic_guitar,/m/042v_gx,0,0
449,413998.wav,Bass_guitar,/m/018vs,0,0
450,424778.wav,Clapping,/m/0l15bq,0,0
451,141620.wav,Squeak,/m/07q6cd_,0,0
452,234584.wav,Dishes_and_pots_and_pans,/m/04brg2,0,0
453,26556.wav,Clapping,/m/0l15bq,0,0
454,331455.wav,Clapping,/m/0l15bq,0,0
455,388475.wav,Engine,/m/02mk9,0,0
456,164824.wav,Walk_or_footsteps,/m/07pbtc8,0,0
457,159092.wav,Tearing,/m/07qcx4z,1,0
458,37850.wav,Fart,/m/02_nn,0,0
459,33333.wav,Dishes_and_pots_and_pans,/m/04brg2,0,0
460,332366.wav,Hi-hat,/m/03qtq,0,0
461,270029.wav,Crash_cymbal,/m/0bm0k,0,0
462,397005.wav,Piano,/m/05r5c,0,0
463,277132.wav,Piano,/m/05r5c,0,0
464,220511.wav,Squeak,/m/07q6cd_,0,0
465,175314.wav,Dishes_and_pots_and_pans,/m/04brg2,0,0
466,51047.wav,Squeak,/m/07q6cd_,0,0
467,203373.wav,Glass,/m/039jq,1,0
468,237151.wav,Slam,/m/07rjzl8,0,0
469,424994.wav,Fire,/m/02_41,0,0
470,130777.wav,Crash_cymbal,/m/0bm0k,0,0
471,270223.wav,Squeak,/m/07q6cd_,0,0
472,143255.wav,Walk_or_footsteps,/m/07pbtc8,0,0
473,256924.wav,Glass,/m/039jq,0,0
474,271568.wav,Squeak,/m/07q6cd_,0,0
475,55314.wav,Bass_guitar,/m/018vs,0,0
476,340658.wav,Engine,/m/02mk9,1,0
477,233383.wav,Walk_or_footsteps,/m/07pbtc8,0,0
478,234222.wav,Tearing,/m/07qcx4z,0,0
479,71435.wav,Tearing,/m/07qcx4z,0,0
480,201348.wav,Bass_guitar,/m/018vs,0,0
481,406681.wav,Walk_or_footsteps,/m/07pbtc8,0,0
482,27703.wav,Glass,/m/039jq,0,0
483,428288.wav,Slam,/m/07rjzl8,0,0
484,244838.wav,Crash_cymbal,/m/0bm0k,0,0
485,198710.wav,Engine,/m/02mk9,0,0
486,347371.wav,Walk_or_footsteps,/m/07pbtc8,0,0
487,182757.wav,Clapping,/m/0l15bq,0,0
488,138379.wav,Crash_cymbal,/m/0bm0k,0,0
489,31234.wav,Squeak,/m/07q6cd_,0,0
490,209045.wav,Wind,/m/03m9d0z,0,0
491,199926.wav,Wind,/m/03m9d0z,0,0
492,325456.wav,Dishes_and_pots_and_pans,/m/04brg2,0,0
493,320845.wav,Engine,/m/02mk9,0,0
494,424727.wav,Dishes_and_pots_and_pans,/m/04brg2,0,0
495,238877.wav,Engine,/m/02mk9,0,0
496,371679.wav,Engine,/m/02mk9,0,0
497,250121.wav,Walk_or_footsteps,/m/07pbtc8,0,0
498,398732.wav,Walk_or_footsteps,/m/07pbtc8,0,0
499,181761.wav,Coin_(dropping),/m/0242l,1,0
500,323540.wav,Clapping,/m/0l15bq,0,0
501,371625.wav,Clapping,/m/0l15bq,0,0
502,163431.wav,Engine,/m/02mk9,0,1
503,349703.wav,Writing,/m/081rb,1,0
504,182918.wav,Wind,/m/03m9d0z,0,0
505,50116.wav,Dishes_and_pots_and_pans,/m/04brg2,0,0
506,330862.wav,Squeak,/m/07q6cd_,0,0
507,379289.wav,Walk_or_footsteps,/m/07pbtc8,0,0
508,127748.wav,Piano,/m/05r5c,0,0
509,245795.wav,Engine,/m/02mk9,0,1
510,168326.wav,Crash_cymbal,/m/0bm0k,0,0
511,221082.wav,Clapping,/m/0l15bq,0,0
512,251079.wav,Acoustic_guitar,/m/042v_gx,1,0
513,255182.wav,Crash_cymbal,/m/0bm0k,0,0
514,324555.wav,Glass,/m/039jq,1,0
